,province
0,江苏省
1,新疆维吾尔自治区
2,新疆维吾尔自治区
3,内蒙古自治区
4,黑龙江省
5,安徽省
6,安徽省
7,安徽省
8,辽宁省
9,重庆市
10,陕西省
11,新疆维吾尔自治区
12,四川省
13,广西壮族自治区
14,吉林省
15,重庆市
16,山东省
17,浙江省
18,河北省
19,上海市
20,广东省
21,内蒙古自治区
22,内蒙古自治区
23,陕西省
24,内蒙古自治区
25,黑龙江省
26,广西壮族自治区
27,山东省
28,北京市
29,新疆维吾尔自治区
30,贵州省
31,江苏省
32,山东省
33,山东省
34,广东省
35,新疆维吾尔自治区
36,内蒙古自治区
37,山东省
38,香港特别行政区
39,辽宁省
40,吉林省
41,江苏省
42,内蒙古自治区
43,内蒙古自治区
44,湖北省
45,江西省
46,内蒙古自治区
47,河南省
48,宁夏回族自治区
49,安徽省
50,辽宁省
51,山西省
52,山西省
53,新疆维吾尔自治区
54,江西省
55,青海省
56,宁夏回族自治区
57,江苏省
58,贵州省
59,河北省
60,河北省
61,河北省
62,香港特别行政区
63,吉林省
64,吉林省
65,吉林省
66,湖南省
67,新疆维吾尔自治区
68,新疆维吾尔自治区
69,辽宁省
70,山西省
71,山西省
72,江苏省
73,辽宁省
74,广东省
75,山西省
76,内蒙古自治区
77,内蒙古自治区
78,河南省
79,山东省
80,山东省
81,安徽省
82,重庆市
83,重庆市
84,重庆市
85,重庆市
86,重庆市
87,重庆市
88,重庆市
89,重庆市
90,内蒙古自治区
91,宁夏回族自治区
92,广东省
93,贵州省
94,内蒙古自治区
95,内蒙古自治区
96,辽宁省
97,辽宁省
98,辽宁省
99,黑龙江省
100,黑龙江省
101,甘肃省
102,安徽省
103,河南省
104,河北省
105,陕西省
106,陕西省
107,吉林省
108,江西省
109,甘肃省
110,黑龙江省
111,广西壮族自治区
112,吉林省
113,新疆维吾尔自治区
114,甘肃省
115,甘肃省
116,河南省
117,陕西省
118,河南省
119,河南省
120,安徽省
121,河北省
122,江苏省
123,福建省
124,黑龙江省
125,河南省
126,山西省
127,黑龙江省
128,内蒙古自治区
129,陕西省
130,河北省
131,浙江省
132,甘肃省
133,河南省
134,江西省
135,江苏省
136,山西省
137,湖南省
138,山东省
139,河南省
140,云南省
141,云南省
142,陕西省
143,辽宁省
144,河北省
145,湖北省
146,湖北省
147,广东省
148,山东省
149,河北省
150,内蒙古自治区
151,新疆维吾尔自治区
152,新疆维吾尔自治区
153,云南省
154,吉林省
155,广西壮族自治区
156,宁夏回族自治区
157,山西省
158,河北省
159,河南省
160,内蒙古自治区
161,福建省
162,江苏省
163,辽宁省
164,四川省
165,辽宁省
166,辽宁省
167,安徽省
168,福建省
169,甘肃省
170,甘肃省
171,江西省
172,新疆维吾尔自治区
173,甘肃省
174,甘肃省
175,江苏省
176,山西省
177,天津市
178,四川省
179,广东省
180,广东省
181,广东省
182,广东省
183,广西壮族自治区
184,广东省
185,广东省
186,江西省
187,贵州省
188,贵州省
189,贵州省
190,陕西省
191,湖南省
192,浙江省
193,湖北省
194,新疆维吾尔自治区
195,宁夏回族自治区
196,内蒙古自治区
197,贵州省
198,山东省
199,广东省
200,江西省
201,吉林省
202,福建省
203,黑龙江省
204,湖北省
205,甘肃省
206,江西省
207,甘肃省
208,新疆维吾尔自治区
209,河北省
210,广西壮族自治区
211,山东省
212,黑龙江省
213,河南省
214,辽宁省
215,内蒙古自治区
216,江苏省
217,山东省
218,江苏省
219,广西壮族自治区
220,河南省
221,甘肃省
222,贵州省
223,辽宁省
224,内蒙古自治区
225,山东省
226,江苏省
227,广东省
228,江苏省
229,浙江省
230,四川省
231,内蒙古自治区
232,海南省
233,新疆维吾尔自治区
234,陕西省
235,湖北省
236,河北省
237,河北省
238,河北省
239,福建省
240,河北省
241,河南省
242,安徽省
243,安徽省
244,新疆维吾尔自治区
245,黑龙江省
246,山西省
247,河南省
248,河南省
249,河南省
250,河南省
251,河南省
252,河南省
253,河南省
254,河南省
255,河北省
256,新疆维吾尔自治区
257,山东省
258,山西省
259,新疆维吾尔自治区
260,广东省
261,广东省
262,山东省
263,山东省
264,广西壮族自治区
265,内蒙古自治区
266,内蒙古自治区
267,内蒙古自治区
268,新疆维吾尔自治区
269,江苏省
270,辽宁省
271,吉林省
272,福建省
273,内蒙古自治区
274,湖南省
275,湖南省
276,重庆市
277,黑龙江省
278,四川省
279,广西壮族自治区
280,黑龙江省
281,黑龙江省
282,湖北省
283,新疆维吾尔自治区
284,山东省
285,山东省
286,安徽省
287,河北省
288,河南省
289,宁夏回族自治区
290,山东省
291,安徽省
292,新疆维吾尔自治区
293,新疆维吾尔自治区
294,江苏省
295,山东省
296,安徽省
297,山西省
298,湖北省
299,陕西省
300,陕西省
301,云南省
302,内蒙古自治区
303,河北省
304,江苏省
305,安徽省
306,安徽省
307,江西省
308,吉林省
309,内蒙古自治区
310,吉林省
311,浙江省
312,安徽省
313,辽宁省
314,黑龙江省
315,山东省
316,福建省
317,海南省
318,广东省
319,海南省
320,黑龙江省
321,内蒙古自治区
322,山东省
323,江西省
324,江苏省
325,吉林省
326,山东省
327,内蒙古自治区
328,新疆维吾尔自治区
329,河南省
330,内蒙古自治区
331,内蒙古自治区
332,河南省
333,江苏省
334,甘肃省
335,河南省
336,陕西省
337,山东省
338,江西省
339,河北省
340,内蒙古自治区
341,广东省
342,陕西省
343,内蒙古自治区
344,内蒙古自治区
345,黑龙江省
346,青海省
347,内蒙古自治区
348,天津市
349,湖北省
350,山东省
351,黑龙江省
352,内蒙古自治区
353,湖北省
354,辽宁省
355,辽宁省
356,湖南省
357,浙江省
358,山西省
359,山西省
360,山东省
361,河北省
362,四川省
363,陕西省
364,湖北省
365,山东省
366,山东省
367,浙江省
368,新疆维吾尔自治区
369,湖南省
370,四川省
371,湖北省
372,湖北省
373,广东省
374,湖南省
375,山西省
376,陕西省
377,新疆维吾尔自治区
378,新疆维吾尔自治区
379,内蒙古自治区
380,内蒙古自治区
381,内蒙古自治区
382,黑龙江省
383,黑龙江省
384,江苏省
385,江苏省
386,江苏省
387,江苏省
388,江苏省
389,江苏省
390,江苏省
391,江苏省
392,江苏省
393,四川省
394,河南省
395,河南省
396,浙江省
397,浙江省
398,甘肃省
399,甘肃省
400,甘肃省
401,甘肃省
402,新疆维吾尔自治区
403,江西省
404,内蒙古自治区
405,内蒙古自治区
406,河北省
407,内蒙古自治区
408,广西壮族自治区
409,广西壮族自治区
410,海南省
411,山东省
412,山西省
413,贵州省
414,安徽省
415,山西省
416,辽宁省
417,湖南省
418,黑龙江省
419,浙江省
420,天津市
421,河南省
422,河南省
423,河北省
424,云南省
425,内蒙古自治区
426,辽宁省
427,江苏省
428,新疆维吾尔自治区
429,内蒙古自治区
430,云南省
431,江苏省
432,广西壮族自治区
433,山东省
434,浙江省
435,甘肃省
436,广东省
437,湖南省
438,山东省
439,辽宁省
440,辽宁省
441,吉林省
442,山西省
443,山东省
444,山东省
445,山西省
446,广西壮族自治区
447,安徽省
448,山东省
449,湖南省
450,湖北省
451,河南省
452,江苏省
453,吉林省
454,吉林省
455,吉林省
456,河北省
457,河北省
458,山东省
459,广东省
460,河南省
461,河南省
462,江苏省
463,四川省
464,安徽省
465,广东省
466,广东省
467,陕西省
468,福建省
469,黑龙江省
470,江西省
471,广东省
472,广东省
473,江苏省
474,山东省
475,山东省
476,山东省
477,河南省
478,贵州省
479,四川省
480,宁夏回族自治区
481,浙江省
482,宁夏回族自治区
483,宁夏回族自治区
484,宁夏回族自治区
485,宁夏回族自治区
486,内蒙古自治区
487,内蒙古自治区
488,贵州省
489,辽宁省
490,辽宁省
491,天津市
492,贵州省
493,江苏省
494,辽宁省
495,河南省
496,河南省
497,广西壮族自治区
498,广东省
499,甘肃省
500,陕西省
501,湖北省
502,河南省
503,河南省
504,贵州省
505,贵州省
506,贵州省
507,青海省
508,山东省
509,贵州省
510,河北省
511,河南省
512,云南省
513,陕西省
514,河北省
515,山东省
516,山东省
517,江苏省
518,新疆维吾尔自治区
519,山西省
520,新疆维吾尔自治区
521,内蒙古自治区
522,河北省
523,陕西省
524,陕西省
525,河北省
526,山东省
527,山东省
528,山东省
529,山东省
530,山东省
531,上海市
532,上海市
533,广东省
534,广东省
535,山西省
536,山西省
537,山西省
538,山西省
539,山西省
540,广东省
541,浙江省
542,山西省
543,山西省
544,宁夏回族自治区
545,内蒙古自治区
546,山东省
547,辽宁省
548,安徽省
549,陕西省
550,陕西省
551,新疆维吾尔自治区
552,新疆维吾尔自治区
553,福建省
554,江西省
555,重庆市
556,内蒙古自治区
557,新疆维吾尔自治区
558,陕西省
559,新疆维吾尔自治区
560,山东省
561,河北省
562,河北省
563,河北省
564,湖南省
565,吉林省
566,黑龙江省
567,贵州省
568,广东省
569,四川省
570,安徽省
571,江苏省
572,吉林省
573,吉林省
574,辽宁省
575,辽宁省
576,安徽省
577,山东省
578,山西省
579,山西省
580,河北省
581,河北省
582,贵州省
583,新疆维吾尔自治区
584,山东省
585,山东省
586,新疆维吾尔自治区
587,广西壮族自治区
588,新疆维吾尔自治区
589,天津市
590,天津市
591,天津市
592,天津市
593,新疆维吾尔自治区
594,新疆维吾尔自治区
595,山东省
596,辽宁省
597,新疆维吾尔自治区
598,山西省
599,内蒙古自治区
600,安徽省
601,安徽省
602,山西省
603,贵州省
604,新疆维吾尔自治区
605,山西省
606,山西省
607,重庆市
608,四川省
609,山东省
610,山东省
611,山东省
612,陕西省
613,陕西省
614,山东省
615,山东省
616,山东省
617,云南省
618,安徽省
619,新疆维吾尔自治区
620,上海市
621,甘肃省
622,山西省
623,陕西省
624,河北省
625,福建省
626,福建省
627,湖北省
628,湖南省
629,河北省
630,青海省
631,广东省
632,河北省
633,河北省
634,河南省
635,江苏省
636,广东省
637,新疆维吾尔自治区
638,新疆维吾尔自治区
639,江苏省
640,陕西省
641,山西省
642,贵州省
643,贵州省
644,宁夏回族自治区
645,河北省
646,云南省
647,云南省
648,山西省
649,山西省
650,广东省
651,广东省
652,江苏省
653,江苏省
654,云南省
655,山东省
656,河南省
657,贵州省
658,湖北省
659,湖北省
660,河南省
661,宁夏回族自治区
662,新疆维吾尔自治区
663,宁夏回族自治区
664,江苏省
665,湖南省
666,福建省
667,河南省
668,湖南省
669,山西省
670,山西省
671,广东省
672,陕西省
673,陕西省
674,陕西省
675,陕西省
676,山西省
677,山东省
678,山东省
679,湖南省
680,河北省
681,河北省
682,福建省
683,山东省
684,山西省
685,广东省
686,浙江省
687,浙江省
688,浙江省
689,浙江省
690,河南省
691,河南省
692,内蒙古自治区
693,河南省
694,河北省
695,安徽省
696,安徽省
697,内蒙古自治区
698,内蒙古自治区
699,内蒙古自治区
700,北京市
701,辽宁省
702,辽宁省
703,山东省
704,河北省
705,广西壮族自治区
706,山东省
707,重庆市
708,福建省
709,辽宁省
710,河北省
711,河北省
712,四川省
713,四川省
714,天津市
715,内蒙古自治区
716,四川省
717,重庆市
718,安徽省
719,黑龙江省
720,山东省
721,河北省
722,山东省
723,江苏省
724,江西省
725,陕西省
726,山东省
727,山西省
728,广西壮族自治区
729,山东省
730,陕西省
731,山东省
732,山东省
733,山东省
734,四川省
735,福建省
736,贵州省
737,贵州省
738,吉林省
739,山东省
740,江西省
741,福建省
742,福建省
743,福建省
744,陕西省
745,江苏省
746,辽宁省
747,安徽省
748,甘肃省
749,甘肃省
750,山东省
751,湖北省
752,广东省
753,广东省
754,广西壮族自治区
755,广东省
756,甘肃省
757,广西壮族自治区
758,贵州省
759,内蒙古自治区
760,湖北省
761,湖南省
762,内蒙古自治区
763,新疆维吾尔自治区
764,安徽省
765,黑龙江省
766,内蒙古自治区
767,河南省
768,河南省
769,新疆维吾尔自治区
770,内蒙古自治区
771,山东省
772,山东省
773,陕西省
774,新疆维吾尔自治区
775,新疆维吾尔自治区
776,新疆维吾尔自治区
777,内蒙古自治区
778,安徽省
779,山东省
780,吉林省
781,山东省
782,湖北省
783,湖南省
784,河南省
785,湖北省
786,内蒙古自治区
787,内蒙古自治区
788,辽宁省
789,新疆维吾尔自治区
790,内蒙古自治区
791,内蒙古自治区
792,黑龙江省
793,内蒙古自治区
794,湖南省
795,河南省
796,山西省
797,吉林省
798,山东省
799,新疆维吾尔自治区
800,贵州省
801,内蒙古自治区
802,辽宁省
803,辽宁省
804,山东省
805,内蒙古自治区
806,山东省
807,贵州省
808,贵州省
809,浙江省
810,新疆维吾尔自治区
811,新疆维吾尔自治区
812,广西壮族自治区
813,山东省
814,陕西省
815,广东省
816,广东省
817,山东省
818,山西省
819,甘肃省
820,黑龙江省
821,山东省
822,山西省
823,贵州省
824,广东省
825,河南省
826,内蒙古自治区
827,广东省
828,广东省
829,河南省
830,重庆市
831,江苏省
832,江苏省
833,广东省
834,河南省
835,山西省
836,宁夏回族自治区
837,山西省
838,宁夏回族自治区
839,山东省
840,内蒙古自治区
841,四川省
842,湖南省
843,宁夏回族自治区
844,山东省
845,贵州省
846,内蒙古自治区
847,河北省
848,内蒙古自治区
849,贵州省
850,河北省
851,内蒙古自治区
852,福建省
853,山东省
854,山东省
855,新疆维吾尔自治区
856,江西省
857,山东省
858,河南省
859,陕西省
860,陕西省
861,山东省
862,山东省
863,山东省
864,山东省
865,山东省
866,山东省
867,山东省
868,山东省
869,江西省
870,陕西省
871,河南省
872,江西省
873,山西省
874,山西省
875,山西省
876,辽宁省
877,新疆维吾尔自治区
878,广东省
879,新疆维吾尔自治区
880,湖南省
881,陕西省
882,辽宁省
883,山西省
884,山西省
885,黑龙江省
886,贵州省
887,江苏省
888,安徽省
889,山东省
890,河北省
891,河北省
892,广西壮族自治区
893,天津市
894,四川省
895,新疆维吾尔自治区
896,黑龙江省
897,新疆维吾尔自治区
898,新疆维吾尔自治区
899,山东省
900,山东省
901,山东省
902,山东省
903,贵州省
904,黑龙江省
905,四川省
906,江苏省
907,湖北省
908,浙江省
909,山西省
910,安徽省
911,贵州省
912,江西省
913,内蒙古自治区
914,贵州省
915,新疆维吾尔自治区
916,新疆维吾尔自治区
917,新疆维吾尔自治区
918,内蒙古自治区
919,新疆维吾尔自治区
920,陕西省
921,山西省
922,山东省
923,陕西省
924,山东省
925,山东省
926,江西省
927,辽宁省
928,黑龙江省
929,山东省
930,山东省
931,山东省
932,宁夏回族自治区
933,河北省
934,山西省
935,广西壮族自治区
936,广西壮族自治区
937,广西壮族自治区
938,陕西省
939,山西省
940,河北省
941,河北省
942,甘肃省
943,江苏省
944,福建省
945,山东省
946,贵州省
947,山西省
948,河南省
949,浙江省
950,河北省
951,贵州省
